Emp_ID,Age,Age_ Group,Attrition,Business_ Travel, Daily _Rate ,Department,Distance _From _Home(miles),Education,Education_Field,Employee_Count,Employee_Number,Environment_Satisfaction,Gender,Hourly_Rate,Job_Involvement,Job_Level,Job_Role,Job_Satisfaction,Marital_Status, Monthly_Income ,Salary_Slab, Monthly_Rate ,Num_Companies_Worked For,Over_18,Over_Time,Percent_Salary_Hike,Performance_Rating,Relationship_Satisfaction,Standard_Hours,Stock_Option_Level,Total_Working_Years,Training_Times_Last_Year,Work_Life_Balance,Years_At_Company,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Current_Manager
RM297,18,18-25,Yes,Travel_Rarely, 230 ,Research & Development,3,3,Life Sciences,1,405,3,Male,54,3,1,Laboratory Technician,3,Single," 1,420 ",Upto 5k," 25,233 ",1,Y,No,13,3,3,80,0,0,2,3,0,0,0,0
RM302,18,18-25,No,Travel_Rarely, 812 ,Sales,10,3,Medical,1,411,4,Female,69,2,1,Sales Representative,3,Single," 1,200 ",Upto 5k," 9,724 ",1,Y,No,12,3,1,80,0,0,2,3,0,0,0,0
RM458,18,18-25,Yes,Travel_Frequently," 1,306 ",Sales,5,3,Marketing,1,614,2,Male,69,3,1,Sales Representative,2,Single," 1,878 ",Upto 5k," 8,059 ",1,Y,Yes,14,3,4,80,0,0,3,3,0,0,0,0
RM728,18,18-25,No,Non-Travel, 287 ,Research & Development,5,2,Life Sciences,1,1012,2,Male,73,3,1,Research Scientist,4,Single," 1,051 ",Upto 5k," 13,493 ",1,Y,No,15,3,4,80,0,0,2,3,0,0,0,0
RM829,18,18-25,Yes,Non-Travel, 247 ,Research & Development,8,1,Medical,1,1156,3,Male,80,3,1,Laboratory Technician,3,Single," 1,904 ",Upto 5k," 13,556 ",1,Y,No,12,3,4,80,0,0,0,3,0,0,0,0
RM973,18,18-25,No,Non-Travel," 1,124 ",Research & Development,1,3,Life Sciences,1,1368,4,Female,97,3,1,Laboratory Technician,4,Single," 1,611 ",Upto 5k," 19,305 ",1,Y,No,15,3,3,80,0,0,5,4,0,0,0,0
RM1154,18,18-25,Yes,Travel_Frequently, 544 ,Sales,3,2,Medical,1,1624,2,Female,70,3,1,Sales Representative,4,Single," 1,569 ",Upto 5k," 18,420 ",1,Y,Yes,12,3,3,80,0,0,2,4,0,0,0,0
RM1312,18,18-25,No,Non-Travel," 1,431 ",Research & Development,14,3,Medical,1,1839,2,Female,33,3,1,Research Scientist,3,Single," 1,514 ",Upto 5k," 8,018 ",1,Y,No,16,3,3,80,0,0,4,1,0,0,0,0
RM128,19,18-25,Yes,Travel_Rarely, 528 ,Sales,22,1,Marketing,1,167,4,Male,50,3,1,Sales Representative,3,Single," 1,675 ",Upto 5k," 26,820 ",1,Y,Yes,19,3,4,80,0,0,2,2,0,0,0,0
RM150,19,18-25,No,Travel_Rarely," 1,181 ",Research & Development,3,1,Medical,1,201,2,Female,79,3,1,Laboratory Technician,2,Single," 1,483 ",Upto 5k," 16,102 ",1,Y,No,14,3,4,80,0,1,3,3,1,0,0,0
RM172,19,18-25,Yes,Travel_Frequently, 602 ,Sales,1,1,Technical Degree,1,235,3,Female,100,1,1,Sales Representative,1,Single," 2,325 ",Upto 5k," 20,989 ",0,Y,No,21,4,1,80,0,1,5,4,0,0,0,0
RM178,19,18-25,Yes,Travel_Rarely, 303 ,Research & Development,2,3,Life Sciences,1,243,2,Male,47,2,1,Laboratory Technician,4,Single," 1,102 ",Upto 5k," 9,241 ",1,Y,No,22,4,3,80,0,1,3,2,1,0,1,0
RM423,19,18-25,Yes,Travel_Rarely, 489 ,Human Resources,2,2,Technical Degree,1,566,1,Male,52,2,1,Human Resources,4,Single," 2,564 ",Upto 5k," 18,437 ",1,Y,No,12,3,3,80,0,1,3,4,1,0,0,0
RM689,19,18-25,Yes,Travel_Rarely, 419 ,Sales,21,3,Other,1,959,4,Male,37,2,1,Sales Representative,2,Single," 2,121 ",Upto 5k," 9,947 ",1,Y,Yes,13,3,2,80,0,1,3,4,1,0,0,0
RM854,19,18-25,No,Travel_Rarely, 645 ,Research & Development,9,2,Life Sciences,1,1193,3,Male,54,3,1,Research Scientist,1,Single," 2,552 ",Upto 5k," 7,172 ",1,Y,No,25,4,3,80,0,1,4,3,1,1,0,0
RM893,19,18-25,Yes,Non-Travel, 504 ,Research & Development,10,3,Medical,1,1248,1,Female,96,2,1,Research Scientist,2,Single," 1,859 ",Upto 5k," 6,148 ",1,Y,Yes,25,4,2,80,0,1,2,4,1,1,0,0
RM910,19,18-25,No,Travel_Rarely, 265 ,Research & Development,25,3,Life Sciences,1,1269,2,Female,57,4,1,Research Scientist,4,Single," 2,994 ",Upto 5k," 21,221 ",1,Y,Yes,12,3,4,80,0,1,2,3,1,0,0,1
RM103,20,18-25,Yes,Travel_Frequently, 871 ,Research & Development,6,3,Life Sciences,1,137,4,Female,66,2,1,Laboratory Technician,4,Single," 2,926 ",Upto 5k," 19,783 ",1,Y,Yes,18,3,2,80,0,1,5,3,1,0,1,0
RM488,20,18-25,No,Travel_Rarely, 959 ,Research & Development,1,3,Life Sciences,1,657,4,Female,83,2,1,Research Scientist,2,Single," 2,836 ",Upto 5k," 11,757 ",1,Y,No,13,3,4,80,0,1,0,4,1,0,0,0
RM514,20,18-25,Yes,Travel_Rarely," 1,362 ",Research & Development,10,1,Medical,1,701,4,Male,32,3,1,Research Scientist,3,Single," 1,009 ",Upto 5k," 26,999 ",1,Y,Yes,11,3,4,80,0,1,5,3,1,0,1,1
RM663,20,18-25,Yes,Travel_Rarely, 500 ,Sales,2,3,Medical,1,922,3,Female,49,2,1,Sales Representative,3,Single," 2,044 ",Upto 5k," 22,052 ",1,Y,No,13,3,4,80,0,2,3,2,2,2,0,2
RM690,20,18-25,Yes,Travel_Rarely, 129 ,Research & Development,4,3,Technical Degree,1,960,1,Male,84,3,1,Laboratory Technician,1,Single," 2,973 ",Upto 5k," 13,008 ",1,Y,No,19,3,2,80,0,1,2,3,1,0,0,0
RM732,20,18-25,Yes,Travel_Rarely," 1,097 ",Research & Development,11,3,Medical,1,1016,4,Female,98,2,1,Research Scientist,1,Single," 2,600 ",Upto 5k," 18,275 ",1,Y,Yes,15,3,1,80,0,1,2,3,1,0,0,0
RM777,20,18-25,Yes,Travel_Frequently, 769 ,Sales,9,3,Marketing,1,1077,4,Female,54,3,1,Sales Representative,4,Single," 2,323 ",Upto 5k," 17,205 ",1,Y,Yes,14,3,2,80,0,2,3,3,2,2,0,2
RM857,20,18-25,No,Travel_Rarely, 805 ,Research & Development,3,3,Life Sciences,1,1198,1,Male,87,2,1,Laboratory Technician,3,Single," 3,033 ",Upto 5k," 12,828 ",1,Y,No,12,3,1,80,0,2,2,2,2,2,1,2
RM877,20,18-25,No,Travel_Rarely, 654 ,Sales,21,3,Marketing,1,1226,3,Male,43,4,1,Sales Representative,4,Single," 2,678 ",Upto 5k," 5,050 ",1,Y,No,17,3,4,80,0,2,2,3,2,1,2,2
RM1179,20,18-25,No,Travel_Rarely," 1,141 ",Sales,2,3,Medical,1,1657,3,Female,31,3,1,Sales Representative,3,Single," 2,783 ",Upto 5k," 13,251 ",1,Y,No,19,3,1,80,0,2,3,3,2,2,2,2
RM1198,20,18-25,No,Travel_Rarely, 727 ,Sales,9,1,Life Sciences,1,1680,4,Male,54,3,1,Sales Representative,1,Single," 2,728 ",Upto 5k," 21,082 ",1,Y,No,11,3,1,80,0,2,3,3,2,2,0,2
RM024,21,18-25,No,Travel_Rarely, 391 ,Research & Development,15,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Single," 1,232 ",Upto 5k," 19,281 ",1,Y,No,14,3,4,80,0,0,6,3,0,0,0,
RM275,21,18-25,No,Travel_Rarely, 996 ,Research & Development,3,2,Medical,1,379,4,Male,100,2,1,Research Scientist,3,Single," 3,230 ",Upto 5k," 10,531 ",1,Y,No,17,3,1,80,0,3,4,4,3,2,1,0
RM358,21,18-25,Yes,Travel_Frequently, 756 ,Sales,1,1,Technical Degree,1,478,1,Female,99,2,1,Sales Representative,2,Single," 2,174 ",Upto 5k," 9,150 ",1,Y,Yes,11,3,3,80,0,3,3,3,3,2,1,2
RM363,21,18-25,No,Non-Travel, 895 ,Sales,9,2,Medical,1,484,1,Male,39,3,1,Sales Representative,4,Single," 2,610 ",Upto 5k," 2,851 ",1,Y,No,24,4,3,80,0,3,3,2,3,2,2,
RM371,21,18-25,Yes,Travel_Rarely, 156 ,Sales,12,3,Life Sciences,1,494,3,Female,90,4,1,Sales Representative,2,Single," 2,716 ",Upto 5k," 25,422 ",1,Y,No,15,3,4,80,0,1,0,3,1,0,0,0
RM497,21,18-25,No,Travel_Rarely," 1,343 ",Sales,22,1,Technical Degree,1,669,3,Male,49,3,1,Sales Representative,3,Single," 3,447 ",Upto 5k," 24,444 ",1,Y,No,11,3,3,80,0,3,2,3,3,2,1,2
RM664,21,18-25,Yes,Travel_Rarely," 1,427 ",Research & Development,18,1,Other,1,923,4,Female,65,3,1,Research Scientist,4,Single," 2,693 ",Upto 5k," 8,870 ",1,Y,No,19,3,1,80,0,1,3,2,1,0,0,0
RM778,21,18-25,Yes,Travel_Rarely," 1,334 ",Research & Development,10,3,Life Sciences,1,1079,3,Female,36,2,1,Laboratory Technician,1,Single," 1,416 ",Upto 5k," 17,258 ",1,Y,No,13,3,1,80,0,1,6,2,1,0,1,0
RM816,21,18-25,No,Travel_Rarely, 984 ,Research & Development,1,1,Technical Degree,1,1131,4,Female,70,2,1,Research Scientist,2,Single," 2,070 ",Upto 5k," 25,326 ",1,Y,Yes,11,3,3,80,0,2,6,4,2,2,2,2
RM916,21,18-25,Yes,Travel_Frequently, 251 ,Research & Development,10,2,Life Sciences,1,1279,1,Female,45,2,1,Laboratory Technician,3,Single," 2,625 ",Upto 5k," 25,308 ",1,Y,No,20,4,3,80,0,2,2,1,2,2,2,2
RM1153,21,18-25,No,Travel_Rarely, 546 ,Research & Development,5,1,Medical,1,1623,3,Male,97,3,1,Research Scientist,4,Single," 3,117 ",Upto 5k," 26,009 ",1,Y,No,18,3,3,80,0,3,2,3,2,2,2,2
